SujetId,Terme,LienWikidata,Verifie
3657,DOCUMENTAIRES (TV),http://www.wikidata.org/entity/Q93204,1
12629,WESTERNS,http://www.wikidata.org/entity/Q172980,1
4212,"EXPÉRIMENTAUX, FILMS",http://www.wikidata.org/entity/Q790192,1
4434,"FICTION, FILMS DE",http://www.wikidata.org/entity/Q8253,1
3985,"ENFANTS, FILMS POUR LES",http://www.wikidata.org/entity/Q2143665,1
3656,DOCUMENTAIRES,http://www.wikidata.org/entity/Q93204,1
9756,CANADA : QUÉBEC DANS LES FILMS,,0
2945,COMÉDIES,http://www.wikidata.org/entity/Q157443,1
4056,"HORREUR, FILMS D'",http://www.wikidata.org/entity/Q200092,1
11794,THRILLERS,http://www.wikidata.org/entity/Q2484376,1
1294,"AVENTURE, FILMS D'",http://www.wikidata.org/entity/Q319221,1
998,"ARTS MARTIAUX, FILMS D'",http://www.wikidata.org/entity/Q1033891,1
11083,"SPORTS, FILMS DE",http://www.wikidata.org/entity/Q1339864,1
3274,COURTS MÉTRAGES,http://www.wikidata.org/entity/Q24862,
10507,"SCIENCE-FICTION, FILMS DE",http://www.wikidata.org/entity/Q471839,1
5538,"GUERRE, FILMS DE",http://www.wikidata.org/entity/Q369747,1
10007,"RELIGIEUX, FILMS",http://www.wikidata.org/entity/Q9259727,1
10152,ROAD MOVIES,http://www.wikidata.org/entity/Q628165,1
4302,"FANTASTIQUES, FILMS",http://www.wikidata.org/entity/Q2973181,1
1592,"BIOGRAPHIQUES, FILMS",http://www.wikidata.org/entity/Q645928,1
12329,"VAMPIRES, FILMS DE",http://www.wikidata.org/entity/Q2137852,1
9077,"POLITIQUES, FILMS",http://www.wikidata.org/entity/Q2973201,1
4073,"ÉROTIQUES, FILMS",http://www.wikidata.org/entity/Q599558,1
3307,"CRIME, FILMS DE",http://www.wikidata.org/entity/Q959790,1
2948,COMÉDIES MUSICALES,http://www.wikidata.org/entity/Q1548170,1
8851,PÉPLUMS,http://www.wikidata.org/entity/Q1433443,1
10196,"ROMANTIQUES, FILMS",http://www.wikidata.org/entity/Q1054574,0
4299,"FÉÉRIE, FILMS DE",http://www.wikidata.org/entity/Q3092278,0
10506,"SCIENCE-FICTION, ÉMISSIONS DE",http://www.wikidata.org/entity/Q471839,0
13520,"ACTION, ÉMISSIONS D'",http://www.wikidata.org/entity/Q188473,0
9704,PUBLICITÉ (VIDÉO),http://www.wikidata.org/entity/Q1869909,0
9065,"POLICIERS, FILMS",http://www.wikidata.org/entity/Q2101714,0
5704,"HISTORIQUES, FILMS",http://www.wikidata.org/entity/Q17013749,1
4433,"FICTION, ÉMISSIONS DE",http://www.wikidata.org/entity/Q12912091,1
13533,"HISTORIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q17013749,1
5691,HISTOIRE DU CINÉMA. LE MUET,,
128,"ACTION, FILMS D'",http://www.wikidata.org/entity/Q188473,1
4101,"ESPIONNAGE, FILMS D'",http://www.wikidata.org/entity/Q2297927,1
12417,VIDÉO,http://www.wikidata.org/entity/Q34508,1
10626,SÉRIES (TV),http://www.wikidata.org/entity/Q5398426,1
3982,"ENFANTS, ÉMISSIONS POUR LES",http://www.wikidata.org/entity/Q2143665,1
13360,ANIMATION DE FIGURINES,,
3658,DOCUMENTAIRES (VIDÉO),http://www.wikidata.org/entity/Q93204,1
766,ANIMATION (VIDÉO),http://www.wikidata.org/entity/Q202866,1
6038,INSTALLATIONS VIDÉO,,
779,"ANIMATION, FILMS D'",http://www.wikidata.org/entity/Q202866,1
4213,"EXPÉRIMENTAUX, VIDÉOS",http://www.wikidata.org/entity/Q790192,1
970,"ART, FILMS SUR L'",http://www.wikidata.org/entity/Q1135802,1
7881,"MUSICIENS, ÉMISSIONS SUR LES",,
3409,"DANSE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q3072043,1
3956,ÉMISSIONS (TV),http://www.wikidata.org/entity/Q15416,0
13523,ANIMATION ET PRISE DE VUES RÉELLES,http://www.wikidata.org/entity/Q202866,0
6355,"JEUNES, ÉMISSIONS POUR LES",http://www.wikidata.org/entity/Q2143665,0
7876,"MUSICALES, ÉMISSIONS",http://www.wikidata.org/entity/Q842256,1
3653,DOCUMENTAIRES DRAMATISÉS (TV),http://www.wikidata.org/entity/Q622370,1
10517,"SCIENTIFIQUES, FILMS",,
139,"ACTUALITÉS, FILMS D'",http://www.wikidata.org/entity/Q735478,1
763,ANIMATHON,,
765,ANIMATION (TV),http://www.wikidata.org/entity/Q202866,1
6368,JEUX-QUESTIONNAIRES (TV),,
3410,"DANSE, FILMS DE",http://www.wikidata.org/entity/Q3072043,1
13543,"SPORTS, ÉMISSIONS DE",http://www.wikidata.org/entity/Q2605607,0
2940,"COMÉDIE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q157443,0
13539,"POLICIÈRES, ÉMISSIONS",http://www.wikidata.org/entity/Q2101714,1
13610,"FICTION, VIDÉOS DE",http://www.wikidata.org/entity/Q12912091,1
9700,"PUBLICITAIRES, FILMS",http://www.wikidata.org/entity/Q1869909,0
6319,"JAZZ, FILMS DE",,
4154,"ÉTUDIANTS, FILMS",http://www.wikidata.org/entity/Q58415294,1
12444,VIDÉOCLIPS,http://www.wikidata.org/entity/Q677466,1
12575,WALT DISNEY PRODUCTIONS (ÉTATS-UNIS),,
971,"ART, VIDÉOS SUR L'",http://www.wikidata.org/entity/Q1135802,1
11695,TÉLÉFILMS,http://www.wikidata.org/entity/Q506240,1
2053,"CAPE ET D'ÉPÉE, FILMS DE",http://www.wikidata.org/entity/Q222639,1
4100,"ESPIONNAGE, ÉMISSIONS D'",http://www.wikidata.org/entity/Q2297927,1
4301,"FANTASTIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q2973181,1
7299,"MÉDICALES, ÉMISSIONS",,
4055,"HORREUR, ÉMISSIONS D'",http://www.wikidata.org/entity/Q200092,1
5890,IMAX,http://www.wikidata.org/entity/Q188575,1
8399,OMNIMAX,http://www.wikidata.org/entity/Q188575,1
443,"AFFAIRES PUBLIQUES, ÉMISSIONS D'",,
11795,THRILLERS (TV),http://www.wikidata.org/entity/Q2484376,1
12346,"VARIÉTÉS, ÉMISSIONS DE",http://www.wikidata.org/entity/Q336181,0
12630,WESTERNS (TV),http://www.wikidata.org/entity/Q172980,1
5198,"GANGSTERS, FILMS DE",http://www.wikidata.org/entity/Q7444356,1
5536,"GUERRE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q369747,1
1591,"BIOGRAPHIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q645928,1
3855,"ÉDUCATIFS, FILMS",http://www.wikidata.org/entity/Q596138,1
11651,TÉLÉROMANS,http://www.wikidata.org/entity/Q2388283,1
1293,"AVENTURE, ÉMISSIONS D'",http://www.wikidata.org/entity/Q319221,1
12051,TRUCAGES,,
3514,DESSINS ANIMÉS,http://www.wikidata.org/entity/Q28968511,1
13522,"ANIMATION, TECHNIQUES MULTIPLES",http://www.wikidata.org/entity/Q202866,0
1303,"AVIATION, FILMS D'",,
13576,"OBJETS, ANIMATION D'",http://www.wikidata.org/entity/Q202866,0
1302,"AVIATION, ÉMISSIONS D'",,
10516,"SCIENTIFIQUES, ÉMISSIONS",,
6008,"INFORMATION, ÉMISSIONS D'",http://www.wikidata.org/entity/Q1358344,1
633,"AMATEURS, FILMS",http://www.wikidata.org/entity/Q455620,0
10762,"SKETCHES, FILMS À",http://www.wikidata.org/entity/Q336144,1
10511,"NATURE, FILMS DE",http://www.wikidata.org/entity/Q1760864,0
13558,CLIPS,http://www.wikidata.org/entity/Q193977,1
7613,"MONTAGE, FILMS DE",,
13548,INTERLUDES,,
6871,LOGO,,
4052,"ÉPISODES, FILMS À",http://www.wikidata.org/entity/Q5398426,0
13552,SOUNDIES,,
13550,SPECTACLE FILMÉ,,
2414,CHRONOPHOTOGRAPHIE,http://www.wikidata.org/entity/Q972417,1
776,ANIMATION SANS CAMÉRA,http://www.wikidata.org/entity/Q202866,0
13527,ÉCRAN D'ÉPINGLES,http://www.wikidata.org/entity/Q2381394,1
13529,ÉLÉMENTS DÉCOUPÉS,,
13575,HOLLYWOOD CARTOONS,http://www.wikidata.org/entity/Q17175676,1
7192,"MARIONNETTES, FILMS DE",http://www.wikidata.org/entity/Q2118696,0
772,ANIMATION ET TRUCAGES PAR ORDINATEUR,http://www.wikidata.org/entity/Q28834881,0
13577,"PARTICULES, ANIMATION DE",,
13579,PÂTE À MODELER,http://www.wikidata.org/entity/Q870889,0
13537,PEINTURE SUR VERRE,,
13580,"PHOTOGRAPHIES, ANIMATION DE",,
13538,PIXILATION,http://www.wikidata.org/entity/Q200751,1
13581,REPOLERO,,
13541,ROTOSCOPIE,http://www.wikidata.org/entity/Q1046057,1
13582,ANIMATION DE SILHOUETTES,http://www.wikidata.org/entity/Q2850055,1
5981,"INDUSTRIELS, FILMS",,
1593,"BIOGRAPHIQUES, VIDÉOS",http://www.wikidata.org/entity/Q645928,1
3652,DOCUMENTAIRES DRAMATISÉS,http://www.wikidata.org/entity/Q622370,1
7300,"MÉDICAUX, FILMS",,
820,"ANTHROPOLOGIQUES, FILMS",,
3708,DRAMATIQUES (TV),http://www.wikidata.org/entity/Q130232,1
775,ANIMATION PAR ORDINATEUR,http://www.wikidata.org/entity/Q28834881,1
819,"ANTHROPOLOGIQUES, ÉMISSIONS",,
10006,"RELIGIEUSES, ÉMISSIONS",http://www.wikidata.org/entity/Q9259727,1
9078,"POLITIQUES, VIDÉOS",http://www.wikidata.org/entity/Q2973201,1
13528,"ÉDUCATIVES, ÉMISSIONS",http://www.wikidata.org/entity/Q596138,1
13540,"PUBLICITAIRES, VIDÉOS",http://www.wikidata.org/entity/Q1869909,0
5733,"FAMILIAUX, FILMS",http://www.wikidata.org/entity/Q1361932,1
9668,"PROPAGANDE, FILMS DE",http://www.wikidata.org/entity/Q1935609,1
13839,INTERLUDES (TV),,
6168,"INTERVIEWS, ÉMISSIONS D'",,
2947,COMÉDIES DE SITUATION (TV),http://www.wikidata.org/entity/Q170238,1
4420,TÉLÉSÉRIES,http://www.wikidata.org/entity/Q5398426,1
13851,"ROMANTIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q1054574,0
2149,"CATASTROPHES, FILMS",http://www.wikidata.org/entity/Q846544,1
13524,"ART, ÉMISSIONS SUR L'",http://www.wikidata.org/entity/Q1135802,1
13820,"MONTAGE, VIDÉOS DE",,
3306,"CRIME, DRAMATIQUES DE (TV)",http://www.wikidata.org/entity/Q959790,0
13818,"HISTORIQUES, VIDÉOS",http://www.wikidata.org/entity/Q17013749,1
13992,"JUDICIAIRES, ÉMISSIONS",,
11613,TÉLÉ-RÉALITÉ,http://www.wikidata.org/entity/Q182415,1
9009,"PIRATES, FILMS DE",http://www.wikidata.org/entity/Q2096633,1
3856,"ÉDUCATIFS, VIDÉOS",http://www.wikidata.org/entity/Q596138,1
13534,"HUMOUR, ÉMISSIONS D'",http://www.wikidata.org/entity/Q157443,1
10008,"RELIGIEUX, VIDÉOS",http://www.wikidata.org/entity/Q9259727,1
7615,"MONTAGNE, FILMS DE",,
9076,"POLITIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q2973201,1
13829,"SPORTS, VIDÉOS DE",http://www.wikidata.org/entity/Q1339864,1
6831,"LITTÉRAIRES, ÉMISSIONS",http://www.wikidata.org/entity/,
13542,"SKETCHES, ÉMISSIONS À",http://www.wikidata.org/entity/Q336144,1
2886,"COLLAGE, FILMS DE",http://www.wikidata.org/entity/Q5145881,1
13990,"JUDICIAIRES, DRAMATIQUES (TV)",,
14177,DRAME,http://www.wikidata.org/entity/Q130232,1
7323,MÉLODRAME,http://www.wikidata.org/entity/Q191489,1
8429,"OPÉRA, FILMS D'",http://www.wikidata.org/entity/Q16909344,1
3988,"ENFANTS, VIDÉOS POUR LES",http://www.wikidata.org/entity/Q2143665,1
3805,"ÉCONOMIE, ÉMISSIONS D'",,
13834,"MÉDICAUX, VIDÉOS",,
3515,DESSINS ANIMÉS (TV),http://www.wikidata.org/entity/Q28968511,1
5940,"INDÉPENDANTS, FILMS",http://www.wikidata.org/entity/Q459290,1
14003,"HORREUR, VIDÉOS D'",http://www.wikidata.org/entity/Q200092,1
5938,"INDÉPENDANTE, VIDÉO",http://www.wikidata.org/entity/Q459290,1
634,"AMATEURS, VIDÉOS",http://www.wikidata.org/entity/Q455620,1
13812,COMÉDIES (VIDÉO),http://www.wikidata.org/entity/Q157443,1
13825,"ROMANTIQUES, VIDÉOS",http://www.wikidata.org/entity/Q1054574,1
6365,JEUX TÉLÉVISÉS,http://www.wikidata.org/entity/Q846662,1
14409,"SERVICES, ÉMISSIONS DE",,
11488,"INTERVIEWS-VARIÉTÉS, ÉMISSIONS D'",,
13535,"INDUSTRIELS, VIDÉOS",,
3513,DESSIN SUR PELLICULE,,
13574,GRAVURE SUR PELLICULE,http://www.wikidata.org/entity/Q56317165,1
3411,"DANSE, VIDÉOS DE",http://www.wikidata.org/entity/Q3072043,1
7298,"MÉDICALES, DRAMATIQUES (TV)",,
9701,"PUBLICITAIRES, ÉMISSIONS",http://www.wikidata.org/entity/Q1869909,0
138,ACTUALITÉS,http://www.wikidata.org/entity/Q735478,1
6357,"JEUNES, FILMS POUR LES",http://www.wikidata.org/entity/Q2143665,0
13532,"GANGSTERS, ÉMISSIONS DE",http://www.wikidata.org/entity/Q7444356,1
4074,"ÉROTIQUES, VIDÉOS",http://www.wikidata.org/entity/Q599558,1
4283,"FAMILLE, FILMS POUR LA",http://www.wikidata.org/entity/Q1361932,1
13991,"JUDICIAIRES, FILMS",,
10664,"SEXE, FILMS DE",,
11662,TÉLÉTHÉÂTRES,,
10433,"SANTÉ, ÉMISSIONS SUR LA",,
12551,"VOYAGES, ÉMISSIONS DE",,
12552,"VOYAGES, FILMS DE",,
13832,"VAMPIRES, VIDÉOS DE",http://www.wikidata.org/entity/Q2137852,1
15280,"HOMOSEXUELS, VIDÉOS",,
14612,"MUSICAUX, FILMS",http://www.wikidata.org/entity/Q842256,1
15428,"JAZZ, ÉMISSIONS DE",,
13828,SPECTACLES (TV),,
13826,"SCIENCE-FICTION, VIDÉOS DE",http://www.wikidata.org/entity/Q471839,1
10430,"SANTÉ ET SÉCURITÉ, FILMS DE",,
13815,"FANTASTIQUES, VIDÉOS",http://www.wikidata.org/entity/Q2973181,1
14521,REPORTAGE DE TOURNAGE (TV),,
13536,"NATURE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q1760864,1
9108,"PORNOGRAPHIQUES, VIDÉOS",http://www.wikidata.org/entity/Q185529,1
15213,ACTUALITÉS (TV),http://www.wikidata.org/entity/Q735478,1
6423,"JUNGLE, FILMS DE",,
13821,"NATURE, VIDÉOS DE",http://www.wikidata.org/entity/Q1760864,1
10625,SÉRIES,http://www.wikidata.org/entity/Q5398426,1
13833,WESTERNS (VIDÉO),http://www.wikidata.org/entity/Q172980,1
3364,"CULTURELLES, ÉMISSIONS",,
7042,MAGAZINES (TV),,
14519,REPORTAGE DE TOURNAGE,,
8428,"OPÉRA, ÉMISSIONS D'",http://www.wikidata.org/entity/Q16909344,1
13830,THRILLERS (VIDÉO),http://www.wikidata.org/entity/Q2484376,1
770,ANIMATION EN RELIEF,,
15746,"MARIONNETTES, ÉMISSIONS DE",http://www.wikidata.org/entity/Q2118696,1
3352,"CULINAIRES, ÉMISSIONS",,
16257,SÉRIES DOCUMENTAIRES (TV),http://www.wikidata.org/entity/Q93204,1
16258,SÉRIES DOCUMENTAIRES,http://www.wikidata.org/entity/Q93204,1
14021,ROAD MOVIES (TV),http://www.wikidata.org/entity/Q628165,1
10518,"SCIENTIFIQUES, VIDÉOS",,
3986,"ENFANTS, FILMS SUR LES",,
13827,"SKETCHES, VIDÉOS À",http://www.wikidata.org/entity/Q336144,1
9107,"PORNOGRAPHIQUES, FILMS",http://www.wikidata.org/entity/Q185529,1
13817,"GUERRE, VIDÉOS DE",http://www.wikidata.org/entity/Q369747,1
16884,"MUSICAUX, VIDÉOS",http://www.wikidata.org/entity/Q842256,1
14020,"ÉROTIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q599558,1
4888,"CINÉMA, FILMS SUR LE",,
2595,"CINÉMA, ÉMISSIONS SUR LE",,
13819,"JAZZ, VIDÉOS DE",,
12053,TRUCAGES (TV),,
14523,REPORTAGE DE TOURNAGE (VIDÉO),,
13823,"POLICIERS, VIDÉOS",http://www.wikidata.org/entity/Q2101714,1
17591,"EN LIGNE, FILMS",,
2596,"CINÉMA, ÉMISSIONS SUR LE (RADIO)",,
773,ANIMATION ET TRUCAGES PAR ORDINATEUR (TV),,
19960,BIOGRAPHIE,http://www.wikidata.org/entity/Q645928,1
19952,ACTION,http://www.wikidata.org/entity/Q188473,0
19978,DOCUMENTAIRE,http://www.wikidata.org/entity/Q93204,1
20006,FICTION,http://www.wikidata.org/entity/Q8253,1
20027,MAGAZINE,,
20054,SÉRIE DOCUMENTAIRE,http://www.wikidata.org/entity/Q93204,1
20066,THRILLER,http://www.wikidata.org/entity/Q2484376,1
19998,HORREUR,http://www.wikidata.org/entity/Q200092,1
20051,SCIENCE-FICTION,http://www.wikidata.org/entity/Q471839,1
19997,AVENTURE,http://www.wikidata.org/entity/Q319221,1
20075,COMÉDIE,http://www.wikidata.org/entity/Q157443,1
19957,ART,http://www.wikidata.org/entity/Q1135802,1
19963,CINÉMA,,
20039,PÉPLUM,http://www.wikidata.org/entity/Q1433443,1
19973,CRIME,http://www.wikidata.org/entity/Q959790,1
20011,HISTOIRE,,
20053,SÉRIE,http://www.wikidata.org/entity/Q5398426,1
20052,SCIENCE,,
7883,MUSIQUE,,
15218,OPÉRA,http://www.wikidata.org/entity/Q16909344,1
764,ANIMATION,http://www.wikidata.org/entity/Q202866,1
9702,PUBLICITÉ,http://www.wikidata.org/entity/Q1869909,0
20069,VARIÉTÉS,http://www.wikidata.org/entity/Q336181,1
20021,PRODUCTION POUR LES JEUNES,http://www.wikidata.org/entity/Q2143665,1
20073,WESTERN,http://www.wikidata.org/entity/Q172980,1
20056,TÉLÉSÉRIE,http://www.wikidata.org/entity/Q5398426,1
20042,POLICIER,http://www.wikidata.org/entity/Q2101714,1
19977,DANSE,http://www.wikidata.org/entity/Q3072043,1
19985,ÉDUCATIF,http://www.wikidata.org/entity/Q596138,1
20043,POLITIQUE,http://www.wikidata.org/entity/Q2973201,1
19979,DOCUMENTAIRE DRAMATISÉ,http://www.wikidata.org/entity/Q622370,1
5798,HUMOUR,http://www.wikidata.org/entity/Q157443,1
20009,GUERRE,http://www.wikidata.org/entity/Q369747,1
19993,PRODUCTION POUR LES ENFANTS,http://www.wikidata.org/entity/Q2143665,1
20062,SPORT,http://www.wikidata.org/entity/Q1339864,1
20063,TÉLÉFILM,http://www.wikidata.org/entity/Q506240,1
20002,FAMILLE,http://www.wikidata.org/entity/Q1361932,1
20010,MUET,http://www.wikidata.org/entity/Q226730,1
20029,JUSTICE,,
20046,RELIGION,http://www.wikidata.org/entity/Q9259727,1
20022,JEU TÉLÉVISÉ,http://www.wikidata.org/entity/Q846662,1
20028,MÉDECINE,,
19982,DRAMATIQUE,http://www.wikidata.org/entity/Q130232,1
20071,VOYAGE,,
20004,FANTASTIQUE,http://www.wikidata.org/entity/Q2973181,1
19967,COLLAGE,http://www.wikidata.org/entity/Q5145881,1
19974,CUISINE,,
20018,INTERVIEW,,
19958,ARTS MARTIAUX,http://www.wikidata.org/entity/Q1033891,1
20020,JAZZ,,
19972,COMÉDIE DE SITUATION,http://www.wikidata.org/entity/Q170238,1
20013,PRODUCTION INDÉPENDANTE,http://www.wikidata.org/entity/Q459290,1
7190,MARIONNETTES,http://www.wikidata.org/entity/Q2118696,1
20035,NATURE,http://www.wikidata.org/entity/Q1760864,1
20033,PRODUCTION DE MONTAGE,,
20050,SANTÉ,,
20061,Spectacle,,
20000,PRODUCTION ÉTUDIANTE,http://www.wikidata.org/entity/Q58415294,1
20064,TÉLÉROMAN,http://www.wikidata.org/entity/Q2388283,1
20007,GALA,,
20065,TÉLÉTHÉÂTRE,,
20025,LITTÉRATURE,,
20047,ROAD MOVIE,http://www.wikidata.org/entity/Q628165,1
20060,SKETCHES,http://www.wikidata.org/entity/Q336144,1
968,ART VIDÉOGRAPHIQUE,,
19987,PRODUCTION EN LIGNE,,
19995,PRODUCTION À ÉPISODES,http://www.wikidata.org/entity/Q5398426,0
20076,COMÉDIE MUSICALE,http://www.wikidata.org/entity/Q1548170,1
20068,VAMPIRE,http://www.wikidata.org/entity/Q2137852,1
20003,PRODUCTION POUR LA FAMILLE,http://www.wikidata.org/entity/Q1361932,1
20015,INFORMATION,,
20019,INTERVIEW-VARIÉTÉS,,
20070,VIDÉOCLIP,http://www.wikidata.org/entity/Q193977,1
19956,ANTHROPOLOGIE,,
19975,CULTURE,,
19961,CAPE ET D'ÉPÉE,http://www.wikidata.org/entity/Q222639,1
20014,PRODUCTION POUR L'INDUSTRIE,,
20012,HOMOSEXUALITÉ,,
20008,GANGSTERS,http://www.wikidata.org/entity/Q7444356,1
20067,TRUCAGE,,
20038,PASTEL ANIMÉ,,
20049,SANTÉ-SÉCURITÉ,,
20023,JEU-QUESTIONNAIRE,,
20045,PROPAGANDE,http://www.wikidata.org/entity/Q1935609,1
19992,PRODUCTION SUR LES ENFANTS,,
19962,CATASTROPHE,http://www.wikidata.org/entity/Q846544,1
20016,INTERLUDE,,
19959,AVIATION,,
20044,PORNOGRAPHIE,http://www.wikidata.org/entity/Q185529,1
20072,CINÉMA SOCIAL,,
20041,PIRATE,http://www.wikidata.org/entity/Q2096633,1
20017,PRODUCTION POUR INTERNET,,
25037,EXPÉRIMENTAL,http://www.wikidata.org/entity/Q790192,1
25062,AMATEUR,http://www.wikidata.org/entity/Q455620,1
4076,ÉROTISME,http://www.wikidata.org/entity/Q599558,1
16,"3-D, FILMS",http://www.wikidata.org/entity/Q229390,1
